"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,52.6
"R/colPercent.R",100,52.6
"R/ds.asCharacter.o.R",70.59,52.6
"R/ds.asDataMatrix.o.R",70.59,52.6
"R/ds.asFactor.o.R",76.6,52.6
"R/ds.asInteger.o.R",70.59,52.6
"R/ds.asList.o.R",100,52.6
"R/ds.asLogical.o.R",70.59,52.6
"R/ds.asMatrix.o.R",70.59,52.6
"R/ds.asNumeric.o.R",70.59,52.6
"R/ds.Boole.o.R",67.14,52.6
"R/ds.cbind.o.R",67.86,52.6
"R/ds.cor.o.R",88.79,52.6
"R/ds.cov.o.R",89.87,52.6
"R/ds.dataFrame.o.R",69.64,52.6
"R/ds.dataFrameSort.o.R",66.67,52.6
"R/ds.dataFrameSubset.o.R",61.54,52.6
"R/ds.dim.o.R",79.49,52.6
"R/ds.glm.o.R",60.26,52.6
"R/ds.glmSLMA.o.R",82.52,52.6
"R/ds.histogram.o.R",0,52.6
"R/ds.length.o.R",92.11,52.6
"R/ds.lexis.o.R",11.43,52.6
"R/ds.listClientsideFunctions.o.R",0,52.6
"R/ds.listDisclosureSettings.o.R",100,52.6
"R/ds.listOpals.o.R",0,52.6
"R/ds.listServersideFunctions.o.R",100,52.6
"R/ds.look.o.R",100,52.6
"R/ds.make.o.R",68.75,52.6
"R/ds.matrixDet.R",70.91,52.6
"R/ds.matrixDet.report.R",100,52.6
"R/ds.matrixDiag.R",65.62,52.6
"R/ds.matrixDimnames.R",70.59,52.6
"R/ds.matrixInvert.R",70.59,52.6
"R/ds.matrixMult.R",69.81,52.6
"R/ds.matrix.R",67.69,52.6
"R/ds.matrixTranspose.R",70.59,52.6
"R/ds.mean.o.R",94.83,52.6
"R/ds.meanSdGp.R",89.38,52.6
"R/ds.merge.o.R",0,52.6
"R/ds.message.o.R",100,52.6
"R/ds.rbind.o.R",66.36,52.6
"R/ds.rBinom.o.R",66.98,52.6
"R/ds.recodeValues.o.R",70.59,52.6
"R/ds.reShape.o.R",0,52.6
"R/ds.rilm.b.R",0,52.6
"R/ds.rm.o.R",100,52.6
"R/ds.rNorm.o.R",66.35,52.6
"R/ds.rPois.o.R",67.35,52.6
"R/ds.rUnif.o.R",66.35,52.6
"R/ds.scatterPlot.o.R",0,52.6
"R/ds.seq.o.R",74.03,52.6
"R/ds.setDefaultOpals.o.R",0,52.6
"R/ds.setSeed.o.R",87.5,52.6
"R/ds.table2D.o.R",82.56,52.6
"R/ds.tapply.assign.o.R",21.31,52.6
"R/ds.tapply.o.R",76.47,52.6
"R/ds.testObjExists.o.R",47.92,52.6
"R/ds.tTestF.R",0,52.6
"R/ds.unList.o.R",100,52.6
"R/ds.var.o.R",87.72,52.6
"R/extract.R",100,52.6
"R/findLoginObjects.R",33.33,52.6
"R/getOpals.R",54.29,52.6
"R/getPooledMean.R",0,52.6
"R/getPooledVar.R",0,52.6
"R/glmChecks.R",0,52.6
"R/isAssigned.R",0,52.6
"R/isDefined.R",88.89,52.6
"R/logical2int.R",0,52.6
"R/rowPercent.R",100,52.6
"R/subsetHelper.R",0,52.6
"R/tTestHelper1.R",0,52.6
"R/tTestHelper2.R",0,52.6
