"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,49.85
"R/colPercent.R",100,49.85
"R/ds.asCharacter.o.R",68.63,49.85
"R/ds.asDataMatrix.o.R",68.63,49.85
"R/ds.asFactor.o.R",74.47,49.85
"R/ds.asInteger.o.R",68.63,49.85
"R/ds.asList.o.R",100,49.85
"R/ds.asLogical.o.R",68.63,49.85
"R/ds.asMatrix.o.R",68.63,49.85
"R/ds.asNumeric.o.R",68.63,49.85
"R/ds.Boole.o.R",65.71,49.85
"R/ds.cbind.o.R",66.96,49.85
"R/ds.cor.o.R",88.79,49.85
"R/ds.cov.o.R",89.87,49.85
"R/ds.dataFrame.o.R",69.64,49.85
"R/ds.dataFrameSort.o.R",66.67,49.85
"R/ds.dataFrameSubset.o.R",60.44,49.85
"R/ds.dim.o.R",79.49,49.85
"R/ds.glm.o.R",56.09,49.85
"R/ds.glmSLMA.o.R",81.82,49.85
"R/ds.histogram.o.R",0,49.85
"R/ds.length.o.R",92.11,49.85
"R/ds.lexis.o.R",0,49.85
"R/ds.listClientsideFunctions.o.R",0,49.85
"R/ds.listDisclosureSettings.o.R",100,49.85
"R/ds.listOpals.o.R",0,49.85
"R/ds.listServersideFunctions.o.R",100,49.85
"R/ds.look.o.R",100,49.85
"R/ds.make.o.R",66.67,49.85
"R/ds.matrixDet.R",69.09,49.85
"R/ds.matrixDet.report.R",90.91,49.85
"R/ds.matrixDiag.R",0,49.85
"R/ds.matrixDimnames.R",68.63,49.85
"R/ds.matrixInvert.R",68.63,49.85
"R/ds.matrixMult.R",67.92,49.85
"R/ds.matrix.R",66.15,49.85
"R/ds.matrixTranspose.R",68.63,49.85
"R/ds.mean.o.R",94.83,49.85
"R/ds.meanSdGp.R",88.5,49.85
"R/ds.merge.o.R",0,49.85
"R/ds.message.o.R",100,49.85
"R/ds.rbind.o.R",65.42,49.85
"R/ds.rBinom.o.R",65.09,49.85
"R/ds.recodeValues.o.R",70.59,49.85
"R/ds.reShape.o.R",0,49.85
"R/ds.rilm.b.R",0,49.85
"R/ds.rm.o.R",100,49.85
"R/ds.rNorm.o.R",64.42,49.85
"R/ds.rPois.o.R",65.31,49.85
"R/ds.rUnif.o.R",64.42,49.85
"R/ds.scatterPlot.o.R",0,49.85
"R/ds.seq.o.R",74.03,49.85
"R/ds.setDefaultOpals.o.R",0,49.85
"R/ds.setSeed.o.R",75,49.85
"R/ds.table2D.o.R",81.4,49.85
"R/ds.tapply.assign.o.R",0,49.85
"R/ds.tapply.o.R",0,49.85
"R/ds.testObjExists.o.R",43.75,49.85
"R/ds.tTestF.R",0,49.85
"R/ds.unList.o.R",100,49.85
"R/ds.var.o.R",84.21,49.85
"R/extract.R",100,49.85
"R/findLoginObjects.R",33.33,49.85
"R/getOpals.R",54.29,49.85
"R/getPooledMean.R",0,49.85
"R/getPooledVar.R",0,49.85
"R/glmChecks.R",0,49.85
"R/isAssigned.R",0,49.85
"R/isDefined.R",88.89,49.85
"R/logical2int.R",0,49.85
"R/rowPercent.R",100,49.85
"R/subsetHelper.R",0,49.85
"R/tTestHelper1.R",0,49.85
"R/tTestHelper2.R",0,49.85
