"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,55.38
"R/colPercent.R",100,55.38
"R/ds.asCharacter.o.R",70.59,55.38
"R/ds.asDataMatrix.o.R",70.59,55.38
"R/ds.asFactor.o.R",78.72,55.38
"R/ds.asInteger.o.R",70.59,55.38
"R/ds.asList.o.R",100,55.38
"R/ds.asLogical.o.R",70.59,55.38
"R/ds.asMatrix.o.R",70.59,55.38
"R/ds.asNumeric.o.R",70.59,55.38
"R/ds.Boole.o.R",71.43,55.38
"R/ds.cbind.o.R",74.11,55.38
"R/ds.cor.o.R",96.26,55.38
"R/ds.cov.o.R",89.87,55.38
"R/ds.dataFrame.o.R",71.43,55.38
"R/ds.dataFrameSort.o.R",66.67,55.38
"R/ds.dataFrameSubset.o.R",62.64,55.38
"R/ds.dim.o.R",97.44,55.38
"R/ds.glm.o.R",65.71,55.38
"R/ds.glmSLMA.o.R",82.52,55.38
"R/ds.histogram.o.R",0,55.38
"R/ds.length.o.R",97.37,55.38
"R/ds.lexis.o.R",11.43,55.38
"R/ds.listClientsideFunctions.o.R",0,55.38
"R/ds.listDisclosureSettings.o.R",100,55.38
"R/ds.listOpals.o.R",0,55.38
"R/ds.listServersideFunctions.o.R",100,55.38
"R/ds.look.o.R",100,55.38
"R/ds.make.o.R",68.75,55.38
"R/ds.matrixDet.R",70.91,55.38
"R/ds.matrixDet.report.R",100,55.38
"R/ds.matrixDiag.R",68.75,55.38
"R/ds.matrixDimnames.R",70.59,55.38
"R/ds.matrixInvert.R",70.59,55.38
"R/ds.matrixMult.R",69.81,55.38
"R/ds.matrix.R",67.69,55.38
"R/ds.matrixTranspose.R",70.59,55.38
"R/ds.mean.o.R",98.21,55.38
"R/ds.meanSdGp.R",89.38,55.38
"R/ds.merge.o.R",24.62,55.38
"R/ds.message.o.R",100,55.38
"R/ds.rbind.o.R",66.36,55.38
"R/ds.rBinom.o.R",66.98,55.38
"R/ds.recodeValues.o.R",77.65,55.38
"R/ds.reShape.o.R",70,55.38
"R/ds.rilm.b.R",0,55.38
"R/ds.rm.o.R",100,55.38
"R/ds.rNorm.o.R",66.35,55.38
"R/ds.rPois.o.R",67.35,55.38
"R/ds.rUnif.o.R",66.35,55.38
"R/ds.scatterPlot.o.R",0,55.38
"R/ds.seq.o.R",74.03,55.38
"R/ds.setDefaultOpals.o.R",0,55.38
"R/ds.setSeed.o.R",87.5,55.38
"R/ds.table2D.o.R",82.56,55.38
"R/ds.tapply.assign.o.R",21.31,55.38
"R/ds.tapply.o.R",76.47,55.38
"R/ds.testObjExists.o.R",47.92,55.38
"R/ds.tTestF.R",0,55.38
"R/ds.unList.o.R",100,55.38
"R/ds.var.o.R",100,55.38
"R/extract.R",100,55.38
"R/findLoginObjects.R",33.33,55.38
"R/getOpals.R",54.29,55.38
"R/getPooledMean.R",0,55.38
"R/getPooledVar.R",0,55.38
"R/glmChecks.R",0,55.38
"R/isAssigned.R",0,55.38
"R/isDefined.R",88.89,55.38
"R/logical2int.R",0,55.38
"R/rowPercent.R",100,55.38
"R/subsetHelper.R",0,55.38
"R/tTestHelper1.R",0,55.38
"R/tTestHelper2.R",0,55.38
