"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,42.37
"R/colPercent.R",100,42.37
"R/ds.asCharacter.o.R",68.63,42.37
"R/ds.asDataMatrix.o.R",68.63,42.37
"R/ds.asFactor.o.R",74.47,42.37
"R/ds.asInteger.o.R",68.63,42.37
"R/ds.asList.o.R",88.89,42.37
"R/ds.asLogical.o.R",68.63,42.37
"R/ds.asMatrix.o.R",68.63,42.37
"R/ds.asNumeric.o.R",68.63,42.37
"R/ds.Boole.o.R",0,42.37
"R/ds.cbind.o.R",66.96,42.37
"R/ds.cor.o.R",42.99,42.37
"R/ds.cov.o.R",46.84,42.37
"R/ds.dataFrame.o.R",63.39,42.37
"R/ds.dataFrameSort.o.R",66.67,42.37
"R/ds.dataFrameSubset.o.R",64.84,42.37
"R/ds.dim.o.R",61.54,42.37
"R/ds.glm.o.R",56.09,42.37
"R/ds.glmSLMA.o.R",81.82,42.37
"R/ds.histogram.o.R",0,42.37
"R/ds.length.o.R",58.33,42.37
"R/ds.lexis.o.R",0,42.37
"R/ds.listClientsideFunctions.o.R",0,42.37
"R/ds.listDisclosureSettings.o.R",100,42.37
"R/ds.listOpals.o.R",0,42.37
"R/ds.listServersideFunctions.o.R",100,42.37
"R/ds.look.o.R",0,42.37
"R/ds.make.o.R",0,42.37
"R/ds.matrixDet.R",69.09,42.37
"R/ds.matrixDet.report.R",90.91,42.37
"R/ds.matrixDiag.R",0,42.37
"R/ds.matrixDimnames.R",68.63,42.37
"R/ds.matrixInvert.R",68.63,42.37
"R/ds.matrixMult.R",67.92,42.37
"R/ds.matrix.R",66.15,42.37
"R/ds.matrixTranspose.R",68.63,42.37
"R/ds.mean.o.R",94.64,42.37
"R/ds.meanSdGp.R",0,42.37
"R/ds.merge.o.R",0,42.37
"R/ds.message.o.R",100,42.37
"R/ds.rbind.o.R",65.42,42.37
"R/ds.rBinom.o.R",65.09,42.37
"R/ds.recodeValues.o.R",65.06,42.37
"R/ds.reShape.o.R",0,42.37
"R/ds.rilm.b.R",0,42.37
"R/ds.rm.o.R",100,42.37
"R/ds.rNorm.o.R",64.42,42.37
"R/ds.rPois.o.R",65.31,42.37
"R/ds.rUnif.o.R",64.42,42.37
"R/ds.scatterPlot.o.R",0,42.37
"R/ds.seq.o.R",74.03,42.37
"R/ds.setDefaultOpals.o.R",0,42.37
"R/ds.setSeed.o.R",75,42.37
"R/ds.table2D.o.R",81.4,42.37
"R/ds.tapply.assign.o.R",0,42.37
"R/ds.tapply.o.R",0,42.37
"R/ds.testObjExists.o.R",0,42.37
"R/ds.tTestF.R",0,42.37
"R/ds.unList.o.R",0,42.37
"R/ds.var.o.R",78.95,42.37
"R/extract.R",100,42.37
"R/findLoginObjects.R",33.33,42.37
"R/getOpals.R",54.29,42.37
"R/getPooledMean.R",0,42.37
"R/getPooledVar.R",0,42.37
"R/glmChecks.R",0,42.37
"R/isAssigned.R",0,42.37
"R/isDefined.R",88.89,42.37
"R/logical2int.R",0,42.37
"R/rowPercent.R",100,42.37
"R/subsetHelper.R",0,42.37
"R/tTestHelper1.R",0,42.37
"R/tTestHelper2.R",0,42.37
